slug,family,type,name,name_fr,description_en,description_fr,official_url
threat-containment,cybersecurity_digital_trust,hard_skill,Threat Containment,Confinement des menaces,Implement measures to isolate and contain security threats quickly.,Mettre en œuvre des mesures pour isoler et contenir rapidement les menaces de sécurité.,
threat-detection,cybersecurity_digital_trust,hard_skill,Threat Detection,Détection de menace,Use tools and techniques to identify threats before they cause damage.,Utiliser des outils et des techniques pour détecter les menaces avant qu'elles ne causent des dommages.,
vulnerability-management,cybersecurity_digital_trust,hard_skill,Vulnerability Management,Gestion des vulnérabilités,"The process of identifying, assessing, and mitigating security vulnerabilities in systems and applications.","Le processus d'identification, d'évaluation et de mitigation des vulnérabilités de sécurité dans les systèmes et applications.",
non-human-identity-management,cybersecurity_digital_trust,hard_skill,Non-Human Identity Management,Gestion des identités non humaines,"Managing digital identities for non-human entities like devices, applications, or services to ensure secure interactions.","La gestion des identités numériques pour des entités non humaines telles que les appareils, applications ou services pour garantir des interactions sécurisées.",
zero-trust-architecture-design,cybersecurity_digital_trust,hard_skill,Zero Trust Architecture Design,Conception d’architecture Zero Trust,"Designing security architectures that assume no trust by default, verifying every access request continuously.","Conception d'architectures de sécurité qui supposent aucune confiance par défaut, en vérifiant chaque demande d'accès en permanence.",
chain-of-custody,cybersecurity_digital_trust,knowledge,Chain of Custody,Chaîne de traçabilité des preuves,Maintaining a documented trail of evidence to ensure integrity and admissibility in investigations.,Tenir une traçabilité documentée des preuves pour garantir leur intégrité et leur admissibilité lors d'enquêtes.,
critical-infrastructure-protection,cybersecurity_digital_trust,knowledge,Critical Infrastructure Protection,Protection des infrastructures critiques,Strategies and measures to safeguard vital systems and assets critical to national security and economy.,Stratégies et mesures pour protéger les systèmes et actifs vitaux essentiels à la sécurité nationale et à l'économie.,
cryptography,cybersecurity_digital_trust,knowledge,Cryptography,Cryptographie,The study and application of techniques for secure communication and data protection.,L'étude et l'application de techniques pour une communication sécurisée et la protection des données.,
cyber-law,law_compliance_governance,knowledge,Cyber Law,Droit de la cybersécurité,"Legal frameworks governing online activities, data protection, and cybercrime prevention.","Les cadres juridiques régissant les activités en ligne, la protection des données et la prévention de la cybercriminalité.",
cybersecurity-fundamentals,cybersecurity_digital_trust,knowledge,Cybersecurity Fundamentals,Fondamentaux de la cybersécurité,Basic principles and practices essential for understanding and implementing cybersecurity measures.,Principes et pratiques fondamentaux essentiels pour comprendre et mettre en œuvre des mesures de cybersécurité.,
data-protection-regulation,law_compliance_governance,knowledge,Data Protection Regulation,Réglementation sur la protection des données,Laws and rules designed to protect personal data and ensure privacy compliance.,Lois et règlements visant à protéger les données personnelles et à garantir la conformité en matière de confidentialité.,
data-privacy,cybersecurity_digital_trust,knowledge,Data Privacy,Confidentialité des données,Practices and policies to ensure the confidentiality and proper handling of personal information.,Pratiques et politiques pour garantir la confidentialité et la bonne gestion des informations personnelles.,
encryption-fundamentals,cybersecurity_digital_trust,knowledge,Encryption Fundamentals,Fondamentaux du chiffrement,Core concepts of encrypting data to protect information from unauthorized access.,Concepts fondamentaux du chiffrement des données pour protéger l'information contre tout accès non autorisé.,
information-security-management,cybersecurity_digital_trust,knowledge,Information Security Management,Gestion de la sécurité de l'information,Frameworks and practices for managing and protecting organizational information assets.,Cadres et pratiques pour gérer et protéger les actifs informationnels d'une organisation.,
iso-27001,cybersecurity_digital_trust,knowledge,ISO 27001,ISO 27001,"International standard for establishing, implementing, and maintaining an information security management system.","Norme internationale pour établir, mettre en œuvre et maintenir un système de gestion de la sécurité de l'information.",
dora-compliance,law_compliance_governance,knowledge,DORA Compliance,Conformité DORA,"DORA Compliance refers to adherence to the EU Digital Operational Resilience Act, ensuring ICT risk management in financial entities.","La conformité DORA désigne le respect du règlement européen sur la résilience opérationnelle numérique, garantissant la gestion des risques TIC dans les entités financières.",
mitre-att-and-ck-framework,cybersecurity_digital_trust,knowledge,MITRE ATT&CK Framework,Cadre MITRE ATT&CK,A knowledge base of adversary tactics and techniques used in cybersecurity threat detection.,Une base de connaissances sur les tactiques et techniques des adversaires en cybersécurité.,
national-security,cybersecurity_digital_trust,knowledge,National Security,Sécurité nationale,Protection measures and policies to safeguard a nation's security interests.,Mesures et politiques pour protéger les intérêts de sécurité d'une nation.,
nist-cybersecurity-framework,cybersecurity_digital_trust,knowledge,NIST Cybersecurity Framework,Cadre de cybersécurité NIST,Guidelines for managing and reducing cybersecurity risk based on best practices.,Lignes directrices pour gérer et réduire les risques de cybersécurité selon les meilleures pratiques.,
nis2-compliance,law_compliance_governance,knowledge,NIS2 Compliance,Conformité NIS2,NIS2 Compliance involves meeting the EU directive requirements to improve cybersecurity and incident response across critical sectors.,La conformité NIS2 consiste à respecter la directive européenne visant à renforcer la cybersécurité et la gestion des incidents dans les secteurs critiques.,
operating-system-internals,cybersecurity_digital_trust,knowledge,Operating System Internals,Fonctionnement interne des systèmes d'exploitation,Understanding the internal workings of operating systems for security and troubleshooting.,Comprendre le fonctionnement interne des systèmes d'exploitation pour la sécurité et le dépannage.,
owasp-top-10,cybersecurity_digital_trust,knowledge,OWASP Top 10,OWASP Top 10,A list of the most critical web application security risks to guide developers and security professionals.,"Une liste des risques de sécurité les plus critiques pour les applications web, destinée aux développeurs et professionnels de la sécurité.",
public-key-infrastructure,cybersecurity_digital_trust,knowledge,Public Key Infrastructure,Infrastructure à clés publiques,A framework for managing digital certificates and public-key encryption.,Un cadre pour la gestion des certificats numériques et du chiffrement à clé publique.,
oauth-2-0,cybersecurity_digital_trust,knowledge,OAuth 2.0,OAuth 2.0,An authorization framework enabling secure delegated access to resources.,Un cadre d'autorisation permettant un accès délégué sécurisé aux ressources.,
oidc,cybersecurity_digital_trust,knowledge,OIDC,OIDC,A simple identity layer on top of OAuth 2.0 for user authentication.,Une couche d'identité simple basée sur OAuth 2.0 pour l'authentification des utilisateurs.,
passkeys-and-webauthn,cybersecurity_digital_trust,knowledge,Passkeys & WebAuthn,Passkeys et WebAuthn,Modern authentication methods using cryptographic passkeys and WebAuthn standards.,Méthodes d'authentification modernes utilisant des passkeys cryptographiques et la norme WebAuthn.,
saml,cybersecurity_digital_trust,knowledge,SAML,SAML,An open standard for exchanging authentication and authorization data between parties.,Une norme ouverte pour l'échange de données d'authentification et d'autorisation entre parties.,
sbom-management,cybersecurity_digital_trust,knowledge,SBOM Management,Gestion des SBOM,Understanding SBOM management helps organizations track software components and ensure supply chain security.,Comprendre la gestion des SBOM permet aux organisations de suivre les composants logiciels et de garantir la sécurité de la chaîne d'approvisionnement.,
slsa-framework,cybersecurity_digital_trust,knowledge,SLSA Framework,Cadre SLSA,The SLSA framework provides guidelines to improve software supply chain integrity and trustworthiness.,Le cadre SLSA offre des lignes directrices pour améliorer l'intégrité et la fiabilité de la chaîne d'approvisionnement logicielle.,
security-frameworks,cybersecurity_digital_trust,knowledge,Security Frameworks,Cadres de sécurité,Security frameworks establish best practices and standards to protect digital assets and infrastructure.,Les cadres de sécurité établissent les meilleures pratiques et normes pour protéger les actifs et l'infrastructure numériques.,
soc-2-compliance,law_compliance_governance,knowledge,SOC 2 Compliance,Conformité SOC 2,"SOC 2 compliance assesses a company's controls related to security, availability, processing integrity, confidentiality, and privacy.","La conformité SOC 2 évalue les contrôles d'une entreprise en matière de sécurité, disponibilité, intégrité du traitement, confidentialité et vie privée.",
security-operations-center,cybersecurity_digital_trust,knowledge,Security Operations Center,Centre des opérations de sécurité (SOC),A Security Operations Center (SOC) monitors and defends an organization against cyber threats 24/7.,Un Centre des opérations de sécurité (SOC) surveille et défend une organisation contre les cybermenaces 24/7.,
security-standards,cybersecurity_digital_trust,knowledge,Security Standards,Normes de sécurité,Security standards define the technical and organizational measures to protect information systems.,Les normes de sécurité définissent les mesures techniques et organisationnelles pour protéger les systèmes d'information.,
threat-modeling,cybersecurity_digital_trust,knowledge,Threat Modeling,Modélisation de menace,Threat modeling helps identify and mitigate potential security risks in software and systems.,La modélisation de menace aide à identifier et atténuer les risques potentiels de sécurité dans les logiciels et systèmes.,
zero-trust-principles,cybersecurity_digital_trust,knowledge,Zero Trust Principles,Principes Zero Trust,Zero Trust principles advocate for strict identity verification and minimal trust within networks.,Les principes Zero Trust prônent une vérification stricte de l'identité et une confiance minimale au sein des réseaux.,
autopsy,cybersecurity_digital_trust,tool_platform,Autopsy,Autopsy,Autopsy is an open-source digital forensics platform used for analyzing computer evidence.,Autopsy est une plateforme de criminalistique numérique open-source utilisée pour analyser des preuves informatiques.,
burp-suite,cybersecurity_digital_trust,tool_platform,Burp Suite,Burp Suite,Burp Suite is a popular tool for testing web application security and identifying vulnerabilities.,Burp Suite est un outil populaire pour tester la sécurité des applications web et détecter les vulnérabilités.,
cobalt-strike,cybersecurity_digital_trust,tool_platform,Cobalt Strike,Cobalt Strike,Cobalt Strike is a penetration testing tool used for simulating cyber attacks and assessing security.,Cobalt Strike est un outil de test de pénétration utilisé pour simuler des cyberattaques et évaluer la sécurité.,
crowdstrike,cybersecurity_digital_trust,tool_platform,CrowdStrike,CrowdStrike,CrowdStrike provides endpoint protection and threat intelligence to defend against cyber threats.,CrowdStrike offre une protection des points d'extrémité et des renseignements sur les menaces pour défendre contre les cybermenaces.,
cspm-tools,cybersecurity_digital_trust,tool_platform,CSPM Tools,Outils CSPM,CSPM tools help monitor and manage cloud security posture and compliance.,Les outils CSPM aident à surveiller et gérer la posture de sécurité et la conformité dans le cloud.,
entra-id,cybersecurity_digital_trust,tool_platform,Entra ID,Entra ID,Entra ID is a platform for identity and access management in digital environments.,Entra ID est une plateforme de gestion des identités et des accès dans les environnements numériques.,
ghidra,cybersecurity_digital_trust,tool_platform,Ghidra,Ghidra,Ghidra is a software reverse engineering framework developed by the NSA.,Ghidra est un cadre de rétro-ingénierie logicielle développé par la NSA.,
ida-pro,cybersecurity_digital_trust,tool_platform,IDA Pro,IDA Pro,IDA Pro is a disassembler and debugger used for reverse engineering binary programs.,IDA Pro est un désassembleur et débogueur utilisé pour la rétro-ingénierie de programmes binaires.,
kali-linux,cybersecurity_digital_trust,tool_platform,Kali Linux,Kali Linux,Kali Linux is a Linux distribution specialized for penetration testing and security assessments.,Kali Linux est une distribution Linux spécialisée dans les tests de pénétration et les évaluations de sécurité.,https://kali.org
metasploit,cybersecurity_digital_trust,tool_platform,Metasploit,Metasploit,Metasploit is a penetration testing framework used to identify and exploit security vulnerabilities.,Metasploit est un cadre de test de pénétration utilisé pour identifier et exploiter les vulnérabilités de sécurité.,
microsoft-sentinel,cybersecurity_digital_trust,tool_platform,Microsoft Sentinel,Microsoft Sentinel,Microsoft Sentinel is a cloud-native security information and event management (SIEM) platform.,Microsoft Sentinel est une plateforme SIEM native dans le cloud pour la gestion des informations et des événements de sécurité.,
misp,cybersecurity_digital_trust,tool_platform,MISP,MISP,MISP is an open-source threat intelligence platform for sharing cyber threat information.,MISP est une plateforme de renseignement sur les menaces open-source pour partager des informations sur les cybermenaces.,
nessus,cybersecurity_digital_trust,tool_platform,Nessus,Nessus,Nessus is a vulnerability scanner used to identify security weaknesses in systems.,Nessus est un scanner de vulnérabilités utilisé pour identifier les faiblesses de sécurité dans les systèmes.,
okta,cybersecurity_digital_trust,tool_platform,Okta,Okta,Okta provides identity management solutions for secure user authentication and access.,Okta fournit des solutions de gestion des identités pour une authentification et un accès sécurisés des utilisateurs.,
sast-dast,cybersecurity_digital_trust,tool_platform,SAST/DAST,SAST/DAST,SAST and DAST are methods for analyzing source code and running applications for security vulnerabilities.,SAST et DAST sont des méthodes pour analyser le code source et les applications en cours d'exécution pour détecter les vulnérabilités de sécurité.,
sca-scanners,cybersecurity_digital_trust,tool_platform,SCA Scanners,Analyseurs SCA (composition),SCA scanners analyze software components to identify open source and license risks.,Les analyseurs SCA examinent les composants logiciels pour identifier les risques liés aux logiciels open source et aux licences.,
soar-platforms,cybersecurity_digital_trust,tool_platform,SOAR Platforms,Plateformes SOAR,SOAR platforms automate security operations and incident response workflows.,Les plateformes SOAR automatisent les opérations de sécurité et les flux de travail de réponse aux incidents.,
splunk,cybersecurity_digital_trust,tool_platform,Splunk,Splunk,"Splunk is a platform for searching, monitoring, and analyzing machine-generated data in real-time.","Splunk est une plateforme pour rechercher, surveiller et analyser les données générées par des machines en temps réel.",https://splunk.com
virustotal,cybersecurity_digital_trust,tool_platform,VirusTotal,VirusTotal,VirusTotal is a service that analyzes files and URLs for viruses and malware using multiple antivirus engines.,VirusTotal est un service qui analyse des fichiers et des URL pour détecter virus et logiciels malveillants avec plusieurs moteurs antivirus.,https://virustotal.com
volatility,cybersecurity_digital_trust,tool_platform,Volatility,Volatility,Volatility is an open-source framework for analyzing volatile memory (RAM) dumps for digital forensics.,Volatility est un cadre open-source pour analyser la mémoire volatile (RAM) dans le cadre de la criminalistique numérique.,
wireshark,cybersecurity_digital_trust,tool_platform,Wireshark,Wireshark,Wireshark is a network protocol analyzer used for network troubleshooting and analysis.,Wireshark est un analyseur de protocoles réseau utilisé pour le dépannage et l'analyse des réseaux.,https://wireshark.org
wiz,cybersecurity_digital_trust,tool_platform,Wiz,Wiz,Wiz is a cloud security platform providing visibility and security for cloud environments.,Wiz est une plateforme de sécurité cloud offrant visibilité et protection pour les environnements cloud.,
xdr-platforms,cybersecurity_digital_trust,tool_platform,XDR Platforms,Plateformes XDR,XDR platforms integrate multiple security products to provide comprehensive threat detection and response.,Les plateformes XDR intègrent plusieurs produits de sécurité pour une détection et une réponse aux menaces complètes.,
a-b-testing,data_analytics_bi,hard_skill,A/B Testing,Tests A/B,A/B testing compares two versions of a webpage or app to determine which performs better.,Les tests A/B comparent deux versions d'une page web ou d'une application pour voir laquelle fonctionne le mieux.,
batch-and-stream-etl,data_analytics_bi,hard_skill,Batch & Stream ETL,Batch et Stream ETL,"Batch & Stream ETL involves extracting, transforming, and loading data in batch or real-time streams.","Batch et Stream ETL consiste à extraire, transformer et charger des données en lots ou en flux en temps réel.",
bayesian-analysis,data_analytics_bi,hard_skill,Bayesian Analysis,Analyse bayésienne,Bayesian analysis applies probability models to update beliefs based on new data.,L'analyse bayésienne utilise des modèles de probabilité pour mettre à jour les croyances avec de nouvelles données.,
biostatistics,data_analytics_bi,hard_skill,Biostatistics,Biostatistique,Biostatistics involves applying statistics to biological and health sciences research.,La biostatistique consiste à appliquer la statistique à la recherche en sciences biologiques et de la santé.,
business-intelligence,data_analytics_bi,hard_skill,Business Intelligence,Informatique décisionnelle,Business intelligence involves analyzing data to support strategic decision-making.,L'informatique décisionnelle consiste à analyser des données pour soutenir la prise de décision stratégique.,
causal-inference,data_analytics_bi,hard_skill,Causal Inference,Inférence causale,Causal inference aims to determine cause-and-effect relationships from data.,L'inférence causale vise à déterminer les relations de cause à effet à partir des données.,
cohort-analysis,data_analytics_bi,hard_skill,Cohort Analysis,Analyse de cohortes,Cohort analysis studies groups of users over time to understand behaviors and trends.,L'analyse de cohortes étudie des groupes d'utilisateurs dans le temps pour comprendre comportements et tendances.,
customer-segmentation,data_analytics_bi,hard_skill,Customer Segmentation,Segmentation client,Customer segmentation divides a customer base into groups based on shared characteristics.,La segmentation client divise une base de clients en groupes selon des caractéristiques communes.,
customer-data-platform-management,data_analytics_bi,hard_skill,Customer Data Platform Management,Gestion de plateformes de données clients,Customer data platform management involves organizing and maintaining customer data for marketing.,La gestion de plateformes de données clients consiste à organiser et maintenir les données clients pour le marketing.,
dashboard-design,data_analytics_bi,hard_skill,Dashboard Design,Conception de tableaux de bord,Dashboard design focuses on creating visual interfaces to display key data insights effectively.,La conception de tableaux de bord vise à créer des interfaces visuelles pour présenter efficacement les données clés.,
data-analytics,data_analytics_bi,hard_skill,Data Analytics,Analyse de données,Data analytics involves examining data to uncover useful insights and support decision-making.,L'analyse de données consiste à examiner des données pour découvrir des insights utiles et soutenir la prise de décision.,
data-catalog-management,data_analytics_bi,hard_skill,Data Catalog Management,Gestion de catalogues de données,Data catalog management organizes and maintains metadata about data assets within an organization.,La gestion de catalogues de données organise et maintient les métadonnées sur les actifs de données d'une organisation.,
data-cleaning-and-wrangling,data_analytics_bi,hard_skill,Data Cleaning & Wrangling,Nettoyage et préparation des données,Data cleaning and wrangling prepare raw data for analysis by removing errors and inconsistencies.,Le nettoyage et la préparation des données consistent à rendre les données brutes exploitables en supprimant erreurs et incohérences.,
data-contract-design,law_compliance_governance,hard_skill,Data Contract Design,Conception de contrats de données,"Data contract design defines agreements on data sharing, quality, and usage between parties.","La conception de contrats de données définit les accords sur le partage, la qualité et l'utilisation des données entre parties.",
data-governance,law_compliance_governance,hard_skill,Data Governance,Gouvernance des données,Data governance establishes policies and standards for managing data assets securely and effectively.,La gouvernance des données établit des politiques et des normes pour gérer les actifs de données de manière sécurisée et efficace.,
data-lake-management,data_analytics_bi,hard_skill,Data Lake Management,Gestion de lacs de données,Data lake management involves organizing and maintaining large-scale data repositories for analytics.,La gestion de lacs de données consiste à organiser et maintenir de vastes dépôts de données pour l'analyse.,
data-lakehouse-architecture,data_analytics_bi,hard_skill,Data Lakehouse Architecture,Architecture lakehouse de données,Data lakehouse architecture combines data lakes and data warehouses for flexible analytics.,L'architecture lakehouse combine lacs de données et entrepôts pour une analyse flexible.,
data-pipeline-engineering,data_analytics_bi,hard_skill,Data Pipeline Engineering,Ingénierie des pipelines de données,Data pipeline engineering designs and builds workflows to move and process data efficiently.,L'ingénierie des pipelines de données conçoit et construit des flux pour déplacer et traiter efficacement les données.,
data-quality-engineering,data_analytics_bi,hard_skill,Data Quality Engineering,Ingénierie de la qualité des données,"Data quality engineering ensures data is accurate, consistent, and reliable for analysis.","L'ingénierie de la qualité des données garantit que les données sont précises, cohérentes et fiables pour l'analyse.",
data-storytelling,data_analytics_bi,hard_skill,Data Storytelling,Narration par les données,Learn how to craft compelling narratives from data to communicate insights effectively.,Apprenez à créer des récits captivants à partir de données pour communiquer efficacement des insights.,
data-visualization,data_analytics_bi,hard_skill,Data Visualization,Visualisation de données,Develop skills to create visual representations of data that reveal patterns and insights clearly.,Développez des compétences pour créer des représentations visuelles de données qui révèlent des tendances et des insights clairement.,
demand-forecasting,data_analytics_bi,hard_skill,Demand Forecasting,Prévision de la demande,"Master techniques to predict future demand, helping businesses optimize inventory and resources.","Maîtrisez les techniques pour prévoir la demande future, aidant les entreprises à optimiser leur inventaire et leurs ressources.",
earth-observation,data_analytics_bi,hard_skill,Earth Observation,Observation de la Terre,Gain expertise in analyzing satellite data to monitor environmental and geographical changes.,Acquérez une expertise dans l’analyse des données satellitaires pour surveiller les changements environnementaux et géographiques.,
e-commerce-analytics,data_analytics_bi,hard_skill,E-commerce Analytics,Analyse e-commerce,Learn to analyze online sales data to improve marketing strategies and increase revenue.,Apprenez à analyser les données de vente en ligne pour améliorer les stratégies marketing et augmenter le chiffre d'affaires.,
energy-demand-forecasting,sustainability_climate_energy_agri,hard_skill,Energy Demand Forecasting,Prévision de la demande énergétique,Develop skills to predict energy consumption patterns for better resource management.,Développez des compétences pour prévoir les tendances de consommation d’énergie pour une meilleure gestion des ressources.,
engagement-analytics,data_analytics_bi,hard_skill,Engagement Analytics,Analyse de l’engagement,Understand how to measure and analyze user engagement to optimize digital experiences.,Comprenez comment mesurer et analyser l’engagement des utilisateurs pour optimiser les expériences numériques.,
experimentation,data_analytics_bi,hard_skill,Experimentation,Expérimentation,Learn how to design and analyze experiments to test hypotheses and improve processes.,Apprenez à concevoir et analyser des expérimentations pour tester des hypothèses et améliorer les processus.,
fleet-data-analytics,data_analytics_bi,hard_skill,Fleet Data Analytics,Analyse des données de flotte,"Acquire skills to analyze vehicle fleet data for maintenance, efficiency, and cost savings.","Acquérez des compétences pour analyser les données de flotte de véhicules pour la maintenance, l’efficacité et les économies.",
funnel-analytics,data_analytics_bi,hard_skill,Funnel Analytics,Analyse des entonnoirs de conversion,Master techniques to analyze conversion funnels and optimize customer journeys.,Maîtrisez les techniques pour analyser les entonnoirs de conversion et optimiser le parcours client.,
geographic-information-systems,data_analytics_bi,knowledge,Geographic Information Systems,Systèmes d'information géographique,Understand GIS technology to analyze spatial data for various applications.,Comprenez la technologie SIG pour analyser des données spatiales dans diverses applications.,
geospatial-analysis,data_analytics_bi,hard_skill,Geospatial Analysis,Analyse géospatiale,Learn to analyze geographic data to uncover spatial patterns and insights.,Apprenez à analyser des données géographiques pour découvrir des tendances et des insights spatiaux.,
geospatial-mapping,data_analytics_bi,hard_skill,Geospatial Mapping,Cartographie géospatiale,Develop skills in creating maps that visualize spatial data effectively.,Développez des compétences en création de cartes pour visualiser efficacement des données spatiales.,
geospatial-processing,data_analytics_bi,hard_skill,Geospatial Processing,Traitement géospatial,Gain expertise in processing and analyzing geospatial data for various projects.,Acquérez une expertise dans le traitement et l’analyse de données géospatiales pour divers projets.,
ghg-measurement,data_analytics_bi,hard_skill,GHG Measurement,Mesure des gaz à effet de serre,Learn methods to measure and analyze greenhouse gases for environmental monitoring.,Apprenez les méthodes pour mesurer et analyser les gaz à effet de serre pour la surveillance environnementale.,
grid-analytics,data_analytics_bi,hard_skill,Grid Analytics,Analyse des réseaux électriques,Understand how to analyze electrical grid data to improve efficiency and reliability.,Comprenez comment analyser les données des réseaux électriques pour améliorer leur efficacité et fiabilité.,
hr-data-modeling,data_analytics_bi,hard_skill,HR Data Modeling,Modélisation des données RH,Develop skills to model HR data for better workforce analytics and decision-making.,Développez des compétences pour modéliser les données RH pour une meilleure analyse de la main-d'œuvre et prise de décision.,
inventory-analytics,data_analytics_bi,hard_skill,Inventory Analytics,Analyse des stocks,Learn to analyze stock data to optimize inventory levels and supply chain management.,Apprenez à analyser les données de stocks pour optimiser les niveaux d’inventaire et la gestion de la chaîne d’approvisionnement.,
learning-analytics,education_learning_tech,hard_skill,Learning Analytics,Analyse de l’apprentissage,Understand how to analyze educational data to improve learning outcomes.,Comprenez comment analyser les données éducatives pour améliorer les résultats d’apprentissage.,
logistics-analytics,data_analytics_bi,hard_skill,Logistics Analytics,Analyse logistique,Gain skills to optimize logistics operations through data analysis.,Acquérez des compétences pour optimiser les opérations logistiques grâce à l’analyse de données.,
marine-data-acquisition,data_analytics_bi,hard_skill,Marine Data Acquisition,Acquisition de données marines,Learn methods to collect and analyze marine data for environmental and scientific research.,Apprenez les méthodes de collecte et d’analyse de données marines pour la recherche environnementale et scientifique.,
marketing-measurement,data_analytics_bi,hard_skill,Marketing Measurement,Mesure marketing,Develop skills to measure marketing campaign effectiveness and ROI.,Développez des compétences pour mesurer l’efficacité des campagnes marketing et le retour sur investissement.,
marketing-mix-modeling,data_analytics_bi,hard_skill,Marketing Mix Modeling,Modélisation du mix marketing,Understand how to model marketing mix to optimize advertising spend and strategies.,Comprenez comment modéliser le mix marketing pour optimiser les dépenses publicitaires et les stratégies.,
master-data-management,data_analytics_bi,hard_skill,Master Data Management,Gestion des données de référence,Learn to manage and govern core business data for consistency and accuracy.,Apprenez à gérer et gouverner les données de référence pour assurer leur cohérence et leur précision.,
people-analytics,data_analytics_bi,hard_skill,People Analytics,Analyse RH,Gain expertise in analyzing HR data to improve talent management and organizational performance.,Acquérez une expertise dans l’analyse des données RH pour améliorer la gestion des talents et la performance organisationnelle.,
predictive-maintenance-analytics,data_analytics_bi,hard_skill,Predictive Maintenance Analytics,Analyse de maintenance prédictive,Analyzing data to predict equipment failures and optimize maintenance schedules.,Analyser des données pour prévoir les pannes d'équipement et optimiser la maintenance.,
product-analytics,data_analytics_bi,hard_skill,Product Analytics,Analyse produit,Studying user interactions and product performance to inform development strategies.,Étudier les interactions des utilisateurs et la performance du produit pour orienter le développement.,
real-estate-data-valuation-modeling,data_analytics_bi,hard_skill,Real Estate Data Valuation Modeling,Modélisation de la valorisation des données immobilières,Creating models to estimate property values based on various data points.,Créer des modèles pour estimer la valeur des biens immobiliers à partir de différentes données.,
real-time-stream-processing,data_analytics_bi,hard_skill,Real-time Stream Processing,Traitement de flux en temps réel,Processing data streams instantly for real-time insights and decision-making.,Traiter des flux de données en temps réel pour des insights immédiats et la prise de décision.,
remote-sensing,data_analytics_bi,hard_skill,Remote Sensing,Télédétection,Using satellite or aerial data to monitor and analyze Earth's surface.,Utiliser des données satellitaires ou aériennes pour surveiller et analyser la surface terrestre.,
reverse-etl,data_analytics_bi,hard_skill,Reverse ETL,Reverse ETL,Transferring data from data warehouses back to operational systems for analysis.,Transférer des données des entrepôts vers des systèmes opérationnels pour analyse.,
satellite-imagery-processing,data_analytics_bi,hard_skill,Satellite Imagery Processing,Traitement d'images satellites,"Analyzing satellite images for environmental, urban, or agricultural insights.","Analyser des images satellites pour des insights environnementaux, urbains ou agricoles.",
skills-forecasting,data_analytics_bi,hard_skill,Skills Forecasting,Prévision des compétences,Predicting future skill requirements based on industry trends and data analysis.,Prédire les besoins futurs en compétences à partir des tendances du secteur.,
skills-mapping,data_analytics_bi,hard_skill,Skills Mapping,Cartographie des compétences,Creating visual maps of skills across teams or organizations for planning.,Créer des cartes visuelles des compétences au sein des équipes ou organisations.,
spatial-data-analysis,data_analytics_bi,hard_skill,Spatial Data Analysis,Analyse de données spatiales,Analyzing geographic data to uncover spatial patterns and relationships.,Analyser des données géographiques pour découvrir des motifs et relations spatiales.,
sql-query-optimization,data_analytics_bi,hard_skill,SQL Query Optimization,Optimisation de requêtes SQL,Improving SQL queries for faster data retrieval and efficiency.,Optimiser les requêtes SQL pour une récupération plus rapide des données.,
streaming-pipeline,data_analytics_bi,hard_skill,Streaming Pipeline,Pipeline de données en streaming,Designing data pipelines that handle continuous data streams efficiently.,Concevoir des pipelines de données pour gérer efficacement des flux continus.,
supply-chain-analytics,data_analytics_bi,hard_skill,Supply Chain Analytics,Analyse de la chaîne d’approvisionnement,Analyzing supply chain data to improve logistics and reduce costs.,Analyser les données de la chaîne d'approvisionnement pour optimiser la logistique.,
warehouse-automation,data_analytics_bi,hard_skill,Warehouse Automation,Automatisation des entrepôts,Implementing automation technologies to streamline warehouse operations.,Mettre en œuvre des technologies d'automatisation pour optimiser les opérations d'entrepôt.,
wearable-data-analytics,data_analytics_bi,hard_skill,Wearable Data Analytics,Analyse des données issues des technologies portables,Analyzing data collected from wearable devices for health and activity insights.,Analyser les données issues des appareils portables pour des insights santé et activité.,
web-analytics,data_analytics_bi,hard_skill,Web Analytics,Analyse web,Tracking and analyzing website data to improve user experience and marketing.,Suivre et analyser les données de sites web pour améliorer l'expérience utilisateur.,
big-data-architectures,data_analytics_bi,knowledge,Big Data Architectures,Architectures Big Data,Designing scalable systems to store and process large volumes of data.,Concevoir des systèmes évolutifs pour stocker et traiter de grandes quantités de données.,
data-lineage,data_analytics_bi,knowledge,Data Lineage,Traçabilité des données,Tracking data origin and transformations for transparency and compliance.,Suivre l'origine et les transformations des données pour la transparence.,
data-mesh-architecture,data_analytics_bi,knowledge,Data Mesh Architecture,Architecture Data Mesh,Implementing decentralized data architecture for scalable data management.,Mettre en œuvre une architecture décentralisée pour une gestion efficace des données.,
data-modeling,data_analytics_bi,hard_skill,Data Modeling,Modélisation de données,Creating abstract representations of data to support database design.,Créer des représentations abstraites des données pour la conception de bases.,
data-warehousing,data_analytics_bi,knowledge,Data Warehousing,Entrepôts de données,Storing large amounts of structured data for analysis and reporting.,Stocker de grandes quantités de données structurées pour analyse.,
dimensional-modeling,data_analytics_bi,knowledge,Dimensional Modeling,Modélisation dimensionnelle,Designing data models optimized for fast retrieval in data warehouses.,Concevoir des modèles de données optimisés pour une récupération rapide.,
e-commerce-logistics,data_analytics_bi,knowledge,E-commerce Logistics,Logistique e-commerce,Managing logistics processes to ensure efficient e-commerce order fulfillment.,Gérer la logistique pour assurer une livraison efficace des commandes e-commerce.,
experiment-design,data_analytics_bi,knowledge,Experiment Design,Plan d'expérience,Planning experiments to test hypotheses and validate data-driven decisions.,Planifier des expériences pour tester des hypothèses et valider des décisions.,
